n,resultado,tiempo_promedio,desvio_std
10,5,9.410498023498803e-06,3.965599612814655e-07
50,13,0.00013709780032513663,4.395799141710367e-05
100,26,0.000530396102112718,9.449780453940798e-05
200,61,0.002914141700603068,0.0013286301440274925
400,127,0.009853417599515524,0.0034239371289916326
800,261,0.03777179390162928,0.0028534259371677476
