n,resultado,tiempo_promedio,desvio_std
10,5,1.2078799954906572e-05,7.315167457518204e-07
50,13,0.0001621248997253133,4.19226256908409e-05
100,26,0.0005442896000204201,5.796261062107742e-05
200,61,0.002598338700045133,0.0005219832583448218
400,127,0.010136744600004022,0.001195805162395814
800,261,0.04598853780016725,0.0012270617812668312
